Run number,chip_sn,start_column,stop_column,chip_config_file,frontend,Masked pixel in FE,Masked in row 99,IBIAS,ITHR,ICASN,IDB,ITUNE,ICOMP,IDEL,IRAM,VRESET,VCASP,VCASC,VCLIP,THR min pulse 19 TB,THR min lab pre TB,THR pulse 19 post TB,THR min post TB,THR max post TB,THR dispersion pulse19 post TB,NOISE pulse 19 post TB,THR_effective=THR_min +DeltaTHR/2,sigma_effective ~ sqrt(noise**2 + DeltaTHR/2**),THR_effective/sigma_effective,scan_noise_timeout [s],number hits,Fake hit rate post TB,File THR_scan pulse19,Calibration_TOT,run_configure_date,run_configure_time,elog_start,elog_stop,LogFile,Cu [°C],NTC [°C],LogFile.1,U_LV/V,U_PWELL/V,U_PSUBWELL/V,U_HV/V,I_LV/mA,I_PWELL/mA,I_PSUBWELL/mA,I_HV/uA,Comment
1661,W8R6,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R6_DCC/W8R6_DCC_TNTC_25C/20250402_184845_threshold_scan_interpreted.h5,DCC,"1.866,00","156,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,,"24,4","24,4","33,9","0,5","2,78","29,15","5,50","5,30",300,182837,"5,40E-03",20250905_183708,TRUE,2025-04-02,19:50:03,02.04.2025 19:52:49,02.04.2025 19:58:26,2025-04-02 18:31:37_usbtc08_log.csv,"23,49","24,22",2025-04-02 19:49:06_power_log.csv,"1,8","6,0","14,0","0,0","377,52","0,7","0,58","23,14",
1662,W8R6,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R6_DCC/W8R6_DCC_TNTC_30C/20250402_204214_threshold_scan_interpreted.h5,DCC,"1.866,00","156,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,,,"27,6","27,6",38,"0,6","3,4","32,8","6,21","5,28",100,102023,"9,04E-03",20250701_083440,TRUE,2025-04-02,21:07:37,02.04.2025 21:08:13,02.04.2025 21:25:46,2025-04-02 18:31:37_usbtc08_log.csv,"30,5","29,46",2025-04-02 19:49:06_power_log.csv,"1,8","6,0","14,0","0,0","384,27","1,0","0,7","40,32",
1679,W8R6,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R6_DCC/W8R6_DCC_TNTC_30C/20250402_204214_threshold_scan_interpreted.h5,DCC,"1.866,00","156,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,"27,4",,"27,6","27,6",38,"0,6","3,4","32,8","6,21","5,28",100,102023,"9,04E-03",20250701_083440,TRUE,2025-04-02,23:54:27,02.04.2025 23:55:04,02.04.2025 23:57:03,2025-04-02 23:04:39_usbtc08_log.csv,"30,49","29,32",2025-04-02 23:53:01_power_log.csv,"1,8","6,0","14,0","0,0","383,98","1,0","0,84","39,95",
1680,W8R6,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R6_DCC/W8R6_DCC_TNTC_30C/20250402_204214_threshold_scan_interpreted.h5,DCC,"1.866,00","156,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,"27,4",,"27,6","27,6",38,"0,6","3,4","32,8","6,21","5,28",100,102023,"9,04E-03",20250701_083440,TRUE,2025-04-02,23:57:48,02.04.2025 23:58:18,03.04.2025 00:23:30,2025-04-02 23:04:39_usbtc08_log.csv,"30,5","29,36",2025-04-02 23:53:01_power_log.csv,"1,8","6,0","14,0","0,0","384,05","1,0","0,71","40,09",
1681,W8R6,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R6_DCC/W8R6_DCC_TNTC_30C/20250402_204214_threshold_scan_interpreted.h5,DCC,"1.866,00","156,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,"27,4",,"27,6","27,6",38,"0,6","3,4","32,8","6,21","5,28",100,102023,"9,04E-03",20250701_083440,TRUE,2025-04-03,00:27:04,03.04.2025 00:27:30,03.04.2025 00:48:03,2025-04-02 23:04:39_usbtc08_log.csv,"30,5","29,36",2025-04-02 23:53:01_power_log.csv,"1,8","6,0","14,0","0,0","384,04","1,0","0,7","40,11",
1682,W8R6,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R6_DCC/W8R6_DCC_TNTC_30C/20250403_010934_threshold_scan_interpreted.h5,DCC,"1.866,00","156,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,"26,4",,26,26,36,"0,6","2,85",31,"5,76","5,39",300,85153,"2,52E-03",20250904_160533,TRUE,2025-04-03,01:22:52,03.04.2025 01:23:36,03.04.2025 01:39:12,2025-04-02 23:04:39_usbtc08_log.csv,"30,5","29,29",2025-04-03 01:05:03_power_log.csv,"1,8","6,0","0,0","0,0","377,6","0,96","0,2","22,84",injection up to 140DAC during TB
1684,W8R6,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R6_DCC/W8R6_DCC_TNTC_30C/20250403_014652_threshold_scan_interpreted.h5,DCC,"1.866,00","156,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,"26,5",,"26,2","26,2","36,2","0,6","2,88","31,2","5,77","5,41",300,108213,"3,20E-03",20250904_165459,TRUE,2025-04-03,02:02:12,03.04.2025 02:02:37,03.04.2025 02:17:54,2025-04-02 23:04:39_usbtc08_log.csv,"30,5","29,29",2025-04-03 02:01:36_power_log.csv,"1,8","6,0","1,0","0,0","378,52","0,99","0,3","24,65",injection up to 140DAC during TB
1685,W8R6,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R6_DCC/W8R6_DCC_TNTC_30C/20250403_022843_threshold_scan_interpreted.h5,DCC,"1.866,00","156,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,"26,6",,"26,6","26,6",,"0,6","3,08","13,3","13,65","0,97",,,#DIV/0!,20250403_022843,TRUE,2025-04-03,02:36:17,03.04.2025 02:36:44,03.04.2025 02:51:55,2025-04-02 23:04:39_usbtc08_log.csv,"30,5","29,29",2025-04-03 02:18:52_power_log.csv,"1,8","6,0","2,0","0,0","379,77","1,0","0,3","27,31",injection up to 140DAC during TB
1686,W8R6,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R6_DCC/W8R6_DCC_TNTC_30C/20250403_025710_threshold_scan_interpreted.h5,DCC,"1.866,00","156,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,27,,27,27,,"0,6","3,21","13,5","13,88","0,97",,,#DIV/0!,20250403_025710,TRUE,2025-04-03,03:10:12,03.04.2025 03:11:26,03.04.2025 03:26:33,2025-04-02 23:04:39_usbtc08_log.csv,"30,5","29,30",2025-04-03 02:52:42_power_log.csv,"1,8","6,0","3,0","0,0","381,41","1,0","0,4","31,46",injection up to 140DAC during TB
1687,W8R6,"224,00","448,00",/media/bellevtx01/tb2025d/desy-tb-2025/tuning/W8R6_DCC/W8R6_DCC_TNTC_30C/20250403_033006_threshold_scan_interpreted.h5,DCC,"1.866,00","156,0",100.0,64.0,10.0,100.0,250.0,80.0,88.0,50.0,143.0,93.0,205.0,255.0,"27,3",,"27,3","27,3",,"0,6","3,31","13,65","14,05","0,97",,,#DIV/0!,20250403_033006,TRUE,2025-04-03,03:42:34,03.04.2025 03:43:15,03.04.2025 03:58:22,2025-04-02 23:04:39_usbtc08_log.csv,"30,5","29,29",2025-04-03 03:27:25_power_log.csv,"1,8","6,0","4,0","0,0","382,69","1,0","0,41","35,59",injection up to 140DAC during TB
